file,true_cid,pred_cid,pred_confidence
3\003_1_0107.png,3,5,0.8242
3\003_1_0115.png,3,5,0.5742
83\68_original_68.png_6e21e373-b5a5-4336-91ae-c7e53b1c9586.png,83,84,0.6211
83\68_original_68.png_7b07b5d4-c5b6-477b-a650-02e1d10d282f.png,83,84,0.75
83\68_original_68.png_8592589b-a41d-40b0-a493-c5d60162e3c9.png,83,84,0.6094
83\68_original_68.png_ff59b433-755e-4cf5-b9ca-02ec5c1fd0df.png,83,84,0.5781
84\26_original_69_original_69.png_d633b0fa-5b4a-4ad4-bc76-86ceddd00c85.png_881d416b-b628-492f-9118-0570eed20a40.png,84,83,0.8008
84\26_original_69_original_69.png_d749bce3-ccf8-4d0b-8b24-87779b013c8c.png_0805c052-fd47-46aa-8680-327c1656ef04.png,84,83,0.5273
84\26_original_69_original_69.png_d749bce3-ccf8-4d0b-8b24-87779b013c8c.png_33c158cd-9732-4d9a-9170-21645f44c858.png,84,83,0.4492
84\26_original_69_original_69.png_dcd4a6e9-5301-4ce5-b829-980675f25d63.png_bec2f7d8-836a-4c1a-bae2-30fd1e1c720e.png,84,83,0.8047
84\26_original_69_original_69.png_de28c344-69f0-422e-a82c-2d8554f72193.png_c680ed1b-57d4-4d2c-9870-8317557d6ab5.png,84,83,0.8086
84\26_original_69_original_69.png_de28c344-69f0-422e-a82c-2d8554f72193.png_fb210190-f434-4c9c-bb88-360f18fdbc81.png,84,83,0.9062
84\26_original_69_original_69.png_ecbd9c00-c0c8-4fd0-943c-20c316ea5379.png_701b4dfd-6800-4da9-aaf6-ab91ac24d486.png,84,83,0.5625
84\26_original_69_original_69.png_ecbd9c00-c0c8-4fd0-943c-20c316ea5379.png_e4588c1b-b029-47be-ac25-1e4cfbd44410.png,84,83,0.7852
84\26_original_69_original_69.png_f18066ec-8c1d-4273-8288-8735e04b7b42.png_5f22d828-3951-4af9-98c6-06263e42dada.png,84,83,0.6953
84\26_original_69_original_69.png_f2ac217e-5368-4e6a-a40a-f4a69976dbf8.png_32985888-f1af-40aa-ac50-e970a79b377d.png,84,83,0.6367
84\69_original_69.png_00dbcc1d-8535-4149-a009-7f5d5bd533e6.png,84,83,0.8594
84\26_original_69_original_69.png_d749bce3-ccf8-4d0b-8b24-87779b013c8c.png_3facfa70-4d1f-43bf-bc2d-e20f0dc63821.png,84,85,0.6758
87\040_1_0001.png,87,43,0.4688
87\042_1_0004_1_j.png,87,43,0.5234
87\042_1_0005.png,87,43,0.8672
87\042_1_0007.png,87,43,0.8633
87\044_0001.png,87,43,0.5469
87\044_1_0007.png,87,43,0.875
