model_index,class_id,class_name,correct,total,errors,accuracy_percent,precision,recall,f1_score
0,0,Speed limit 5,49,49,0,100.0,1.0,1.0,1.0
1,2,Speed limit 30,9,10,1,90.0,0.75,0.9,0.8181818181818182
2,3,Speed limit 40,26,30,4,86.66666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667
3,4,Speed limit 50,8,10,2,80.0,0.7272727272727273,0.8,0.761904761904762
4,5,Speed limit 60,25,30,5,83.33333333333333,0.8928571428571429,0.8333333333333334,0.8620689655172413
5,6,Speed limit 70,11,11,0,100.0,1.0,1.0,1.0
6,7,Speed limit 80,20,25,5,80.0,0.8333333333333334,0.8,0.816326530612245
7,24,Go Right,13,13,0,100.0,1.0,1.0,1.0
8,43,Go Right or Straight,12,14,2,85.71428571428571,0.9230769230769231,0.8571428571428571,0.888888888888889
9,69,Height Limit,30,30,0,100.0,1.0,1.0,1.0
10,70,Weight Limit,11,11,0,100.0,1.0,1.0,1.0
11,72,Length Limit,25,25,0,100.0,1.0,1.0,1.0
12,83,Steep Descent,14,16,2,87.5,0.56,0.875,0.6829268292682927
13,84,Steep Ascent,9,19,10,47.36842105263158,0.8181818181818182,0.47368421052631576,0.6
14,85,Narrow Road,27,27,0,100.0,1.0,1.0,1.0
15,86,Narrow Bridge,13,14,1,92.85714285714286,1.0,0.9285714285714286,0.962962962962963
16,87,Unknown,29,30,1,96.66666666666667,0.9354838709677419,0.9666666666666667,0.9508196721311476
