model_index,class_id,class_name,correct,total,errors,accuracy_percent,precision,recall,f1_score
0,0,Speed limit 5,49,49,0,100.0,1.0,1.0,1.0
1,2,Speed limit 30,10,10,0,100.0,0.8333333333333334,1.0,0.9090909090909091
2,3,Speed limit 40,29,30,1,96.66666666666667,0.8285714285714286,0.9666666666666667,0.8923076923076922
3,4,Speed limit 50,8,10,2,80.0,1.0,0.8,0.888888888888889
4,5,Speed limit 60,24,30,6,80.0,0.8888888888888888,0.8,0.8421052631578948
5,6,Speed limit 70,11,11,0,100.0,1.0,1.0,1.0
6,7,Speed limit 80,20,25,5,80.0,0.8695652173913043,0.8,0.8333333333333333
7,24,Go Right,13,13,0,100.0,1.0,1.0,1.0
8,43,Go Right or Straight,13,14,1,92.85714285714286,0.8666666666666667,0.9285714285714286,0.896551724137931
9,69,Height Limit,30,30,0,100.0,1.0,1.0,1.0
10,70,Weight Limit,11,11,0,100.0,1.0,1.0,1.0
11,72,Length Limit,25,25,0,100.0,1.0,1.0,1.0
12,83,Steep Descent,12,16,4,75.0,0.5217391304347826,0.75,0.6153846153846153
13,84,Steep Ascent,9,19,10,47.36842105263158,0.6923076923076923,0.47368421052631576,0.5625
14,85,Narrow Road,27,27,0,100.0,1.0,1.0,1.0
15,86,Narrow Bridge,13,14,1,92.85714285714286,1.0,0.9285714285714286,0.962962962962963
16,87,Unknown,28,30,2,93.33333333333333,0.9655172413793104,0.9333333333333333,0.9491525423728815
